x,y,yerr
736.4651536453097,6.02125090155567e-07,1.232614945670183e-07
736.2221329584246,7.788973314871671e-07,1.1844034163381724e-08
735.9791122715394,8.162568626912491e-07,1.030042230626437e-08
735.7360915846543,8.781156832428823e-07,1.6252285520412745e-08
735.4930708977693,8.961517587698756e-07,1.9879749663855292e-08
735.250050210886,9.459262795953121e-07,1.5605862766179473e-08
735.0070295240008,9.682126950206182e-07,1.4472070481638398e-08
734.7640088371157,1.0157199214867414e-06,1.4652160633508646e-08
734.5209881502307,1.053560682369603e-06,1.3605789351118665e-08
734.2779674633456,1.0655853831699066e-06,1.611566166151524e-08
734.0349467764604,1.1097725635958634e-06,1.5755987331795218e-08
733.7919260895753,1.1712851617376808e-06,2.119808927946065e-08
733.5489054026903,1.2263655061364852e-06,1.830185355174105e-08
733.3058847158051,1.2786051732871509e-06,1.8869792949759088e-08
733.06286402892,1.3437593953696218e-06,2.7216461593867622e-08
732.8198433420367,1.3957823206543697e-06,2.4969412241676876e-08
732.5768226551517,1.4723179190511813e-06,1.7014275985711125e-08
732.3338019682665,1.4782858144798021e-06,1.980270656219025e-08
732.0907812813814,1.5921283071391256e-06,1.638813577098855e-08
731.8477605944963,1.659800807211085e-06,1.884052427844251e-08
731.6047399076112,1.7093226337664178e-06,1.8095124005411645e-08
731.3617192207261,1.7650477045207695e-06,7.92489988205832e-09
731.118698533841,1.808920764528653e-06,1.632647809113323e-08
730.8756778469559,1.8471406326812318e-06,1.9855218720876292e-08
730.6326571600707,1.8879349731258893e-06,1.8082520873805528e-08
730.3896364731875,1.8965540081925558e-06,1.338962568590664e-08
730.1466157863024,1.905631281072712e-06,1.5116737341696808e-08
729.9035950994173,1.92049786099463e-06,1.9482365821479028e-08
729.6605744125321,1.9700950591504656e-06,1.5100748307172855e-08
729.417553725647,1.932046687814544e-06,1.0375191333364749e-08
729.174533038762,1.975772690823747e-06,1.3109857577513708e-08
728.9315123518769,2.0609072403106837e-06,1.6586200772697053e-08
728.6884916649917,2.0899265098994097e-06,1.7510490029871494e-08
728.4454709781066,2.15188440623522e-06,1.795667742990497e-08
728.2024502912234,2.244441664924326e-06,2.194582932404065e-08
727.9594296043382,2.318401651557231e-06,2.3367028899328635e-08
727.7164089174531,2.4356538017043094e-06,3.332782408270988e-08
727.473388230568,2.508643470354068e-06,2.166811173578509e-08
727.230367543683,2.619802787812288e-06,2.696703683029052e-08
726.9873468567978,2.71324796447103e-06,2.122708990436404e-08
726.7443261699127,2.7749409292603458e-06,1.3260768672731084e-08
726.5013054830276,2.8597280148232335e-06,1.4112125024502153e-08
726.2582847961424,2.936057854414665e-06,1.9605209531588907e-08
726.0152641092574,3.015266439199711e-06,1.3753506448183342e-08
725.7722434223741,3.062101696201553e-06,1.3510606283135994e-08
